MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-02-25,ST,7,2,9,RED ELYSEES,S Clipperton,17.00
2018-02-25,ST,7,3,6,NAMJONG PLUS,M L Yeung,12.00
2018-02-25,ST,7,4,3,DESMIOS,G Mosse,7.90
2018-02-25,ST,8,1,1,TIME WARP,Z Purton,3.00
2018-02-25,ST,8,2,2,WERTHER,H Bowman,2.80
2018-02-25,ST,8,3,4,SEASONS BLOOM,J Moreira,8.60
2018-02-25,ST,8,4,3,PAKISTAN STAR,M Chadwick,5.50
2018-02-25,ST,9,1,2,BEAUTY GENERATION,Z Purton,4.90
2018-02-25,ST,9,2,4,BEAT THE CLOCK,J Moreira,3.20
2018-02-25,ST,9,3,6,FIFTY FIFTY,K Teetan,4.60
2018-02-25,ST,9,4,9,GIANT TREASURE,C Soumillon,52.00
2018-02-25,ST,10,1,14,SUPER MISSILE,J Moreira,2.30
2018-02-25,ST,10,2,3,RAGING BLITZKRIEG,N Rawiller,17.00
2018-02-25,ST,10,3,12,ROYAL MOJITO,C Schofield,5.60
2018-02-25,ST,10,4,5,GIANT TURTLE,U Rispoli,20.00
2018-02-25,ST,11,1,12,SUPER FORM,C Schofield,28.00
2018-02-25,ST,11,2,7,UNICRON JEWELLERY,J Moreira,3.60
2018-02-25,ST,11,3,14,EVEREST,M F Poon,9.50
2018-02-25,ST,11,4,11,AGREE,T Berry,12.00
2018-03-03,ST,8,3,5,BRING IT ON,C Y Ho,9.00
2018-03-03,ST,8,4,9,BULLISH GLORY,M Chadwick,66.00
2018-03-03,ST,9,3,3,DRAGON GENERAL,K Teetan,16.00
2018-03-03,ST,9,4,13,DIAMOND MASTER,K C Ng,87.00
2018-03-03,ST,10,1,6,TURIN REDSTAR,K C Leung,3.80
2018-03-03,ST,10,2,12,ULTIMATE GLORY,O Doleuze,22.00
2018-03-03,ST,10,3,2,CALCULATION,J Moreira,3.40
2018-03-03,ST,10,4,9,DYNAMIC EAGLE,M Chadwick,15.00
2018-03-07,HV,1,1,4,MEGATRON,J Moreira,3.10
2018-03-07,HV,1,2,9,CELEBRATION,K Teetan,9.70
2018-03-07,HV,1,3,2,LOADED,N Rawiller,7.10
2018-03-07,HV,1,4,11,HOLY UNICORN,M L Yeung,8.20
2018-03-07,HV,2,1,2,IVICTORY,J Moreira,1.50
2018-03-07,HV,2,2,3,CALIFORNIA WHIP,Z Purton,4.40
2018-03-07,HV,2,3,7,STARLIGHT,M F Poon,32.00
2018-03-07,HV,2,4,5,FANTASTIC EIGHT,U Rispoli,5.00
2018-03-07,HV,3,1,4,GOOD DAYS,N Rawiller,4.20
2018-03-07,HV,3,2,8,KING BOUNTIFUL,O Doleuze,12.00
2018-03-07,HV,3,3,10,AUDACITY,H T Mo,6.70
2018-03-07,HV,3,4,9,SMART BABY,N Callan,8.20
2018-03-07,HV,4,1,7,HERO TIME,N Rawiller,4.50
2018-03-07,HV,4,2,1,CALIFORNIA ASPAR,K C Ng,53.00
2018-03-07,HV,4,3,10,GOLDEN GLORY,C Y Ho,14.00
2018-03-07,HV,4,4,9,CLEAR CHOICE,J Moreira,3.00
2018-03-07,HV,5,1,2,HAR HAR HEART,J Moreira,1.90
2018-03-07,HV,5,2,1,THE JUDGE,Z Purton,6.80
2018-03-07,HV,5,3,10,ASSOCIATION FANS,A Sanna,46.00
2018-03-07,HV,5,4,12,MONEY WINNER,K Teetan,11.00
2018-03-07,HV,6,1,1,FORTUNE BOOTH,Z Purton,4.30
