MeetinDate,MeetingVenue,RaceNo,PoolText,WinCombination,DividendAmount
2018-02-25,ST,8,3 Pick 1,"5, 6, 8, 9",0.0000
2018-02-25,ST,8,3 Pick 1,"1, 3, 7",16.5000
2018-02-25,ST,8,3 Pick 1,"2, 6, 9",0.0000
2018-02-25,ST,8,3 Pick 1,"4, 5, 8",0.0000
2018-02-25,ST,8,Winning Trainer,,0.0000
2018-02-25,ST,8,Tierce,"1, 2, 4",335.0000
2018-02-25,ST,8,Trio,"1, 2, 4",78.0000
2018-02-25,ST,8,First 4,"1, 2, 3, 4",74.0000
2018-02-25,ST,8,Quartet,"1, 2, 4, 3",1174.0000
2018-02-25,ST,8,7th Double,5/1,379.0000
2018-02-25,ST,8,7th Double (Consolation),5/2,53.0000
2018-02-25,ST,8,2nd Double Trio,"5, 6, 9/1, 2, 4",43052.0000
2018-02-25,ST,9,Win,2,49.5000
2018-02-25,ST,9,Place,2,18.0000
2018-02-25,ST,9,Place,4,14.0000
2018-02-25,ST,9,Place,6,16.0000
2018-02-25,ST,9,Quinella,"2, 4",104.5000
2018-02-25,ST,9,Quinella Place,"2, 4",35.5000
2018-02-25,ST,9,Quinella Place,"2, 6",51.0000
2018-02-25,ST,9,Quinella Place,"4, 6",23.0000
2018-02-25,ST,9,3 Pick 1,"4, 6",0.0000
2018-02-25,ST,9,3 Pick 1,"1, 2, 11",21.5000
2018-02-25,ST,9,3 Pick 1,"3, 5, 7, 8, 9, 10",0.0000
2018-02-25,ST,9,3 Pick 1,"1, 2",33.0000
2018-02-25,ST,9,3 Pick 1,"3, 5, 9",0.0000
2018-02-25,ST,9,3 Pick 1,"4, 7",0.0000
2018-02-25,ST,9,3 Pick 1,"6, 8, 10, 11",0.0000
2018-02-25,ST,9,Winning Trainer,,0.0000
2018-02-25,ST,9,Tierce,"2, 4, 6",740.0000
2018-02-25,ST,9,Trio,"2, 4, 6",90.0000
2018-02-25,ST,9,First 4,"2, 4, 6, 9",1033.0000
2018-02-25,ST,9,Quartet,"2, 4, 6, 9",20262.0000
2018-02-25,ST,9,8th Double,1/2,218.0000
2018-02-25,ST,9,8th Double (Consolation),1/4,18.5000
2018-02-25,ST,10,Win,14,23.5000
2018-02-25,ST,10,Place,14,12.5000
2018-02-25,ST,10,Place,3,44.5000
2018-02-25,ST,10,Place,12,20.5000
2018-02-25,ST,10,Quinella,"3, 14",210.5000
2018-02-25,ST,10,Quinella Place,"3, 14",78.5000
2018-02-25,ST,10,Quinella Place,"12, 14",33.5000
2018-02-25,ST,10,Quinella Place,"3, 12",160.0000
2018-02-25,ST,10,3 Pick 1,"4, 14",19.0000
2018-02-25,ST,10,3 Pick 1,"1, 2, 12",0.0000
2018-02-25,ST,10,3 Pick 1,"3, 5, 6, 7, 8, 9, 10, 11, 13",0.0000
2018-02-25,ST,10,Tierce,"14, 3, 12",1673.0000
2018-02-25,ST,10,Trio,"3, 12, 14",353.0000
2018-02-25,ST,10,First 4,"3, 5, 12, 14",1449.0000
2018-02-25,ST,10,Quartet,"14, 3, 12, 5",20258.0000
2018-02-25,ST,10,9th Double,2/14,182.5000
2018-02-25,ST,10,9th Double (Consolation),2/3,297.0000
2018-02-25,ST,11,Win,12,289.5000
2018-02-25,ST,11,Place,12,67.0000
2018-02-25,ST,11,Place,7,15.5000
2018-02-25,ST,11,Place,14,30.0000
2018-02-25,ST,11,Quinella,"7, 12",586.5000
2018-02-25,ST,11,Quinella Place,"7, 12",214.0000
2018-02-25,ST,11,Quinella Place,"12, 14",415.5000
2018-02-25,ST,11,Quinella Place,"7, 14",78.0000
2018-02-25,ST,11,3 Pick 1,"7, 10",0.0000
2018-02-25,ST,11,3 Pick 1,"3, 6, 11",0.0000
2018-02-25,ST,11,3 Pick 1,"1, 2, 4, 5, 8, 9, 12, 13, 14",34.0000
2018-02-25,ST,11,Tierce,"12, 7, 14",16067.0000
2018-02-25,ST,11,Trio,"7, 12, 14",1853.0000
2018-02-25,ST,11,First 4,"7, 11, 12, 14",3746.0000
2018-02-25,ST,11,Quartet,"12, 7, 14, 11",120695.0000
2018-02-25,ST,11,10th Double,14/12,552.5000
2018-02-25,ST,11,10th Double (Consolation),14/7,11.0000
2018-02-25,ST,11,Treble,2/14/12,4302.0000
2018-02-25,ST,11,Treble (Consolation),2/14/7,100.0000
2018-02-25,ST,11,3rd Double Trio,"3, 12, 14/7, 12, 14",66270.0000
2018-02-25,ST,11,Six Up,"10, 11/5, 9/1, 2/2, 4/3, 14/7, 12",10017.0000
